,0
528,16.7
529,15.5
530,15.5
531,15.5
532,14.7
533,14.1
534,14.1
535,14.1
536,15.8
537,18.3
538,18.3
539,17.9
540,20.6
541,21.0
542,20.3
543,20.3
544,20.1
545,19.6
546,19.0
547,18.9
548,18.6
549,18.6
550,18.6
551,18.6
552,18.4
553,18.1
554,18.2
555,18.0
556,18.1
557,14.1
558,17.8
559,18.4
560,18.4
561,19.0
562,19.0
563,19.7
564,19.1
565,18.6
566,19.2
567,18.6
568,17.2
569,16.1
570,15.9
571,15.4
572,15.0
573,14.6
574,14.1
575,14.0
576,13.9
577,15.7
578,15.7
579,13.1
580,13.1
581,15.7
582,13.1
583,13.1
584,13.1
585,13.4
586,14.2
587,14.6
588,16.0
589,15.0
590,16.8
591,15.0
592,15.0
593,14.7
594,14.3
595,14.2
596,14.5
597,14.2
598,15.0
599,14.5
600,15.7
601,14.9
602,14.9
603,14.9
604,14.9
605,13.6
606,13.8
607,14.0
608,14.9
609,13.8
610,15.0
611,15.3
612,15.9
613,15.9
614,15.9
615,16.1
616,15.6
617,16.1
618,16.0
619,16.0
620,16.0
621,12.1
622,16.0
623,12.1
624,15.8
625,15.8
626,15.8
627,15.6
628,15.6
629,16.0
630,15.3
631,15.6
632,16.1
633,16.5
634,16.5
635,17.1
636,17.1
637,19.1
638,19.0
639,20.2
640,20.0
641,16.1
642,15.9
643,17.9
644,14.5
645,17.1
646,15.4
647,16.1
648,15.7
649,15.7
650,15.1
651,15.0
652,14.2
653,14.2
654,14.1
655,14.0
656,14.1
657,12.2
658,14.3
659,15.3
660,14.2
661,14.6
662,15.0
663,14.6
664,14.6
665,14.0
666,14.0
667,13.6
668,13.4
669,13.4
670,12.7
671,13.5
672,13.2
673,13.0
674,13.8
675,13.9
676,14.1
677,14.1
678,13.2
679,13.8
680,14.2
681,14.3
682,14.2
683,13.6
684,13.4
685,13.4
686,11.4
687,11.4
688,13.2
689,12.9
690,12.9
691,12.8
692,12.8
693,13.4
694,12.1
695,11.9
696,11.9
697,9.9
698,10.3
699,9.9
700,9.9
701,9.6
702,9.6
703,9.5
704,9.5
705,9.9
706,9.4
707,9.8
708,11.9
709,9.8
710,9.6
711,9.6
712,9.9
713,10.0
714,10.0
715,10.0
716,10.1
717,10.6
718,12.0
719,12.0
720,11.1
721,11.1
722,12.4
723,12.0
724,11.0
725,11.1
726,11.1
727,11.3
728,12.0
729,12.4
730,12.9
731,13.1
732,16.2
733,17.9
734,16.2
735,14.6
736,14.6
737,14.2
738,14.1
739,14.1
740,14.2
741,14.3
742,13.7
743,13.7
744,13.9
745,13.6
746,13.0
747,13.6
748,13.6
749,12.6
750,12.3
751,12.3
752,12.8
753,14.3
754,16.0
755,16.2
756,16.3
757,18.5
758,17.0
759,17.8
760,17.8
761,19.8
762,15.5
763,15.3
764,15.1
765,14.6
766,14.0
767,13.6
768,13.1
769,12.8
770,13.4
771,13.4
772,13.1
773,13.1
774,12.9
775,13.0
776,13.9
777,15.5
778,17.6
779,18.6
780,18.5
781,19.4
782,20.2
783,20.0
784,20.0
785,18.0
786,17.4
787,17.0
788,16.8
789,16.3
790,16.3
791,15.8
792,14.8
793,14.1
794,13.8
795,13.7
796,13.7
797,13.5
798,13.1
799,14.9
800,15.1
801,20.0
802,20.0
803,21.0
804,21.3
805,21.0
806,21.0
807,20.3
808,19.9
809,19.2
810,18.5
811,18.5
812,18.4
813,18.3
814,18.3
815,18.1
816,18.0
817,17.3
818,17.5
819,17.3
820,17.2
821,16.9
822,16.8
823,16.5
824,17.2
825,18.0
826,19.6
827,19.1
828,23.0
829,23.0
830,22.6
