,A0
456,35363.9
457,12619.7
458,4754.0
459,18400.3
460,16062.9
461,33142.7
462,5713.36
463,15972.1
464,18000.5
465,5314.42
466,20865.0
467,9511.32
468,9513.59
469,4369.42
470,9769.6
471,32419.0
472,31971.4
473,4797.44
474,2395.12
475,24336.9
476,15854.3
477,28174.5
478,4195.93
479,26844.5
480,24920.5
481,28762.1
482,12780.5
483,13743.3
484,10510.6
485,4900.86
486,26079.0
487,22605.4
488,16375.8
489,10954.4
490,13097.6
491,19770.0
492,20772.4
493,33054.3
494,1495.65
495,16565.6
496,19803.1
497,10182.0
498,18348.8
499,6071.02
500,27140.5
501,24638.9
502,6755.58
503,25996.8
504,13482.4
505,22510.0
506,1813.57
507,20301.5
508,23097.5
509,14913.4
510,17036.2
511,26119.4
512,22071.7
513,19752.4
514,19303.7
515,16370.5
516,19514.2
517,22743.3
518,24815.1
519,7625.69
520,25705.4
521,19250.2
522,2471.94
523,23154.6
524,20802.2
525,5946.73
526,14275.1
527,11044.5
528,16206.2
529,27504.9
530,24567.9
531,9642.42
532,16303.5
533,27481.3
534,10342.5
535,10521.0
536,24143.3
537,16140.2
538,28425.0
539,4358.33
540,14280.4
541,27102.2
542,20701.0
543,2930.7
544,19830.0
545,22658.4
546,24621.0
547,2662.11
548,23393.5
549,34459.6
550,19249.4
551,29908.2
552,9768.0
553,29415.0
554,18211.6
555,20856.4
556,7001.25
557,9768.36
558,22379.9
559,16012.9
560,30099.4
561,7766.45
562,4336.5
563,30312.3
564,15911.5
565,29687.1
566,26441.2
567,33525.4
568,6042.0
569,3079.44
570,32464.7
571,10350.3
572,12378.2
573,727.464
574,12843.6
575,14755.1
576,17390.5
577,2936.71
578,31791.0
579,27821.8
580,11115.0
581,2961.24
582,31368.1
583,4522.96
584,28612.7
585,2539.88
586,18865.5
587,20658.8
588,15723.7
589,24899.8
590,25905.8
591,3646.83
592,17753.0
593,31107.0
594,5502.56
595,27859.9
596,20110.5
597,32768.4
598,14054.2
599,9282.28
600,2106.51
601,4937.3
602,13697.8
603,19447.0
604,3474.86
605,27859.8
606,2270.32
607,3559.45
608,7025.78
609,7548.8
610,28900.4
611,27960.7
612,9520.2
613,1471.25
614,22337.0
615,28448.6
616,25996.2
617,4984.26
618,6814.51
619,12276.7
620,31953.0
621,17861.8
622,13986.3
623,20007.3
624,6022.17
625,17832.4
626,15816.8
627,15977.5
628,1885.29
629,21004.8
630,12249.5
631,14483.3
632,30087.2
633,3130.52
634,17028.8
635,29743.9
636,11146.3
637,10692.9
638,13497.1
639,1855.23
640,29868.3
641,4897.87
642,19041.5
643,22595.7
644,3345.11
645,26299.5
646,4276.32
647,13874.6
648,24906.7
649,23985.9
650,13087.2
651,6084.72
652,32691.4
653,2490.98
654,15987.7
655,7782.87
656,10117.3
657,8786.92
658,20859.9
659,26533.2
660,21924.3
661,25099.2
662,2578.24
663,6002.98
664,24737.7
665,23164.8
666,13085.5
667,28668.1
668,14641.9
669,34747.6
670,25541.0
671,16519.0
672,8979.92
673,5546.24
674,20521.2
675,19927.3
676,29256.1
677,18938.8
678,6862.89
679,28290.4
680,8850.15
681,25017.9
682,3953.75
683,25218.4
684,35072.2
685,3318.02
686,23562.2
687,12406.7
688,30060.4
689,26517.9
690,11964.6
691,4482.15
692,16518.5
693,35627.7
694,30337.6
695,21208.3
696,3548.25
697,12734.9
698,16559.2
699,11395.2
700,14579.3
701,9726.17
702,26157.9
703,4401.96
704,16103.3
705,8108.51
706,3588.07
707,32269.5
708,3806.01
709,1976.32
710,15979.8
711,16323.8
712,4384.99
713,34277.8
714,7230.82
715,14291.4
716,10199.7
717,4968.41
718,30361.8
719,6717.17
720,12222.9
721,12515.3
722,34055.3
723,7499.53
724,20178.7
725,11764.1
726,18777.2
727,17008.3
728,6759.57
729,30382.2
730,25022.6
731,33810.8
732,19673.1
733,19871.3
734,28218.7
735,12325.6
736,6347.19
737,32940.4
738,22235.6
739,6218.23
740,25297.2
741,22058.8
742,22601.5
743,13029.1
744,17629.6
745,13662.0
746,32120.1
747,25793.8
748,11187.8
749,3176.56
750,28462.0
751,3341.5
752,22815.9
753,26087.6
754,15573.7
755,17211.9
756,31771.4
757,12597.4
758,32531.1
759,31096.5
